c0;c1;c2;c3
---Session;start;old0;
46246;12:00:00;08/01/2020;
31619;12:00:00;08/01/2020;
23624;12:00:00;08/01/2020;
48947;12:00:00;08/01/2020;
25611;12:00:00;08/01/2020;
32678;12:00:00;08/01/2020;
35484;12:00:00;08/01/2020;
24756;12:00:00;08/01/2020;
23395;12:00:00;08/01/2020;
29979;12:00:00;08/01/2020;
32557;12:00:00;08/01/2020;
32137;12:00:00;08/01/2020;
26500;12:00:00;08/01/2020;
28769;12:00:00;08/01/2020;
53132;12:00:00;08/01/2020;
36491;12:00:00;08/01/2020;
31486;12:00:00;08/01/2020;
24006;12:00:00;08/01/2020;
27538;12:00:00;08/01/2020;
27110;12:00:00;08/01/2020;
27090;12:00:00;08/01/2020;
35961;12:00:00;08/01/2020;
26517;12:00:00;08/01/2020;
30332;12:00:00;08/01/2020;
23966;12:00:00;08/01/2020;
26574;12:00:00;08/01/2020;
31600;12:00:00;08/01/2020;
26785;12:00:00;08/01/2020;
44646;12:00:00;08/01/2020;
---Session;end;old5;
---Session;start;old6;
25051;12:00:00;17/01/2020;
22488;12:00:00;17/01/2020;
20373;12:00:00;17/01/2020;
27639;12:00:00;17/01/2020;
21893;12:00:00;17/01/2020;
24329;12:00:00;17/01/2020;
28099;12:00:00;17/01/2020;
33407;12:00:00;17/01/2020;
28327;12:00:00;17/01/2020;
29659;12:00:00;17/01/2020;
26523;12:00:00;17/01/2020;
19647;12:00:00;17/01/2020;
26389;12:00:00;17/01/2020;
41818;12:00:00;17/01/2020;
30279;12:00:00;17/01/2020;
29853;12:00:00;17/01/2020;
40076;12:00:00;17/01/2020;
38797;12:00:00;17/01/2020;
33153;12:00:00;17/01/2020;
26330;12:00:00;17/01/2020;
26462;12:00:00;17/01/2020;
29096;12:00:00;17/01/2020;
32442;12:00:00;17/01/2020;
33791;12:00:00;17/01/2020;
40571;12:00:00;17/01/2020;
31746;12:00:00;17/01/2020;
31269;12:00:00;17/01/2020;
25663;12:00:00;17/01/2020;
46461;12:00:00;17/01/2020;
33105;12:00:00;17/01/2020;
31521;12:00:00;17/01/2020;
25578;12:00:00;17/01/2020;
29164;12:00:00;17/01/2020;
30537;12:00:00;17/01/2020;
24214;12:00:00;17/01/2020;
39210;12:00:00;17/01/2020;
26361;12:00:00;17/01/2020;
28980;12:00:00;17/01/2020;
28318;12:00:00;17/01/2020;
31260;12:00:00;17/01/2020;
36927;12:00:00;17/01/2020;
30137;12:00:00;17/01/2020;
33841;12:00:00;17/01/2020;
23897;12:00:00;17/01/2020;
34454;12:00:00;17/01/2020;
30781;12:00:00;17/01/2020;
20439;12:00:00;17/01/2020;
28716;12:00:00;17/01/2020;
24346;12:00:00;17/01/2020;
22869;12:00:00;17/01/2020;
22331;12:00:00;17/01/2020;
29414;12:00:00;17/01/2020;
27253;12:00:00;17/01/2020;
28108;12:00:00;17/01/2020;
28856;12:00:00;17/01/2020;
27962;12:00:00;17/01/2020;
29696;12:00:00;17/01/2020;
20282;12:00:00;17/01/2020;
29619;12:00:00;17/01/2020;
32259;12:00:00;17/01/2020;
36263;12:00:00;17/01/2020;
25322;12:00:00;17/01/2020;
